Design Principle,Category,Metric,Mean,Variance
DP1 - Emotionally Intelligent & Stereotype-Neutral,Core Metric,Anthropomorphism,,
DP1 - Emotionally Intelligent & Stereotype-Neutral,Core Metric,Identification,,
DP1 - Emotionally Intelligent & Stereotype-Neutral,Meta-Requirement,Gender-Consciousness (MR1),,
DP1 - Emotionally Intelligent & Stereotype-Neutral,Meta-Requirement,Empathic Intuition (MR2),,
DP2 - Trustworthy & Personalized Community,Core Metric,Trustworthiness,,
DP2 - Trustworthy & Personalized Community,Meta-Requirement,Personal Visual Engagement (MR3),,
DP2 - Trustworthy & Personalized Community,Meta-Requirement,Credibility Relatability (MR4),,
DP2 - Trustworthy & Personalized Community,Meta-Requirement,Inclusive Community (MR5),,
DP3 - Empowering & Streamlined Interactions,Core Metric,Goal Facilitation,,
DP3 - Empowering & Streamlined Interactions,Core Metric,Usefulness,,
DP3 - Empowering & Streamlined Interactions,Core Metric,Accessibility,,
DP3 - Empowering & Streamlined Interactions,Core Metric,Attractivity,,
DP3 - Empowering & Streamlined Interactions,Meta-Requirement,User Agency (MR6),,
DP3 - Empowering & Streamlined Interactions,Meta-Requirement,Cognitive Simplicity (MR7),,
